Actor Name,Actor_ID,Settlement Name,Settlement_ID,Sector Name,Sector_ID,Project Name,Project_ID
UNHCR,61,"Maaji I,II, III",2,Health and Nutrition,7,,
UNHCR,61,"Mungula I, II",3,Health and Nutrition,7,,
UNHCR,61,Boroli,4,Health and Nutrition,7,,
UNHCR,61,Nyumanzi,5,Health and Nutrition,7,,
UNHCR,61,"Ayilo I,II",6,Health and Nutrition,7,,
UNHCR,61,Kyangwali,7,Health and Nutrition,7,,
UNHCR,61,Rhino settlement,10,Health and Nutrition,7,,
UNHCR,61,Elegu CP,14,Health and Nutrition,7,,
UNHCR,61,Rwamwanja,16,Health and Nutrition,7,,
UNHCR,61,Kiryandongo TC,21,Health and Nutrition,7,,
UNHCR,61,Kiryandongo Settlement,22,Health and Nutrition,7,,
UNICEF,63,Pagirinya Settlement,1,Health and Nutrition,7,,
UNICEF,63,"Maaji I,II, III",2,Health and Nutrition,7,,
UNICEF,63,"Mungula I, II",3,Health and Nutrition,7,,
UNICEF,63,Boroli,4,Health and Nutrition,7,,
UNICEF,63,Nyumanzi,5,Health and Nutrition,7,,
UNICEF,63,"Ayilo I,II",6,Health and Nutrition,7,,
UNICEF,63,Rhino settlement,10,Health and Nutrition,7,,
UNICEF,63,Nakivale Settlement,18,Health and Nutrition,7,,
UNICEF,63,Oruchinga,19,Health and Nutrition,7,,
UNFPA,64,Pagirinya Settlement,1,Health and Nutrition,7,,
UNFPA,64,"Maaji I,II, III",2,Health and Nutrition,7,,
UNFPA,64,"Mungula I, II",3,Health and Nutrition,7,,
UNFPA,64,Boroli,4,Health and Nutrition,7,,
UNFPA,64,Nyumanzi,5,Health and Nutrition,7,,
UNFPA,64,"Ayilo I,II",6,Health and Nutrition,7,,
UNFPA,64,Kiryandongo TC,21,Health and Nutrition,7,,
UNFPA,64,Kiryandongo Settlement,22,Health and Nutrition,7,,
WFP,73,Kyangwali,7,Health and Nutrition,7,,
WFP,73,Elegu CP,14,Health and Nutrition,7,,
WFP,73,Rwamwanja,16,Health and Nutrition,7,,
WFP,73,Nakivale Settlement,18,Health and Nutrition,7,,
WFP,73,Oruchinga,19,Health and Nutrition,7,,
WFP,73,Kiryandongo Settlement,22,Health and Nutrition,7,,
AAH,2,Kyangwali,7,Health and Nutrition,7,,
ACF,3,Elegu CP,14,Health and Nutrition,7,,
ACF,3,Kiryandongo Settlement,22,Health and Nutrition,7,,
ACORD,7,Pagirinya Settlement,1,Health and Nutrition,7,,
ACORD,7,"Maaji I,II, III",2,Health and Nutrition,7,,
ACORD,7,"Mungula I, II",3,Health and Nutrition,7,,
ACORD,7,Boroli,4,Health and Nutrition,7,,
ACORD,7,Nyumanzi,5,Health and Nutrition,7,,
ACORD,7,"Ayilo I,II",6,Health and Nutrition,7,,
ACORD,7,Kyangwali,7,Health and Nutrition,7,,
ACORD,7,Rwamwanja,16,Health and Nutrition,7,,
CWW,15,Pagirinya Settlement,1,Health and Nutrition,7,,
CWW,15,"Maaji I,II, III",2,Health and Nutrition,7,,
CWW,15,"Mungula I, II",3,Health and Nutrition,7,,
CWW,15,Boroli,4,Health and Nutrition,7,,
CWW,15,Nyumanzi,5,Health and Nutrition,7,,
CWW,15,"Ayilo I,II",6,Health and Nutrition,7,,
CWW,15,Rhino settlement,10,Health and Nutrition,7,,
CWW,15,Elegu CP,14,Health and Nutrition,7,,
CWW,15,Kiryandongo TC,21,Health and Nutrition,7,,
CWW,15,Kiryandongo Settlement,22,Health and Nutrition,7,,
IRC,32,"Maaji I,II, III",2,Health and Nutrition,7,,
IRC,32,"Mungula I, II",3,Health and Nutrition,7,,
IRC,32,Boroli,4,Health and Nutrition,7,,
IRC,32,Nyumanzi,5,Health and Nutrition,7,,
IRC,32,"Ayilo I,II",6,Health and Nutrition,7,,
MTI,36,Pagirinya Settlement,1,Health and Nutrition,7,,
MTI,36,"Maaji I,II, III",2,Health and Nutrition,7,,
MTI,36,"Mungula I, II",3,Health and Nutrition,7,,
MTI,36,Boroli,4,Health and Nutrition,7,,
MTI,36,Nyumanzi,5,Health and Nutrition,7,,
MTI,36,"Ayilo I,II",6,Health and Nutrition,7,,
MTI,36,Ocea RC (Rhino),9,Health and Nutrition,7,,
MTI,36,Rhino settlement,10,Health and Nutrition,7,,
MTI,36,Elegu CP,14,Health and Nutrition,7,,
MTI,36,Nyakabande TC,17,Health and Nutrition,7,,
MTI,36,Nakivale Settlement,18,Health and Nutrition,7,,
MTI,36,Oruchinga,19,Health and Nutrition,7,,
TPO,54,Kiryandongo Settlement,22,Health and Nutrition,7,,
RMF,45,Kiryandongo TC,21,Health and Nutrition,7,,
RMF,45,Kiryandongo Settlement,22,Health and Nutrition,7,,
URCS,58,Elegu CP,14,Health and Nutrition,7,,
SP,48,Rwamwanja,16,Health and Nutrition,7,,
WVI,75,Elegu CP,14,Health and Nutrition,7,,
Government_,56,Kyangwali,7,Health and Nutrition,7,,
Arua - District Local Government ,77,Rhino settlement,10,Health and Nutrition,7,,
AHA,8,Rwamwanja,16,Health and Nutrition,7,,
AHA,8,Kyaka II settlement,20,Health and Nutrition,7,,
UNHCR,61,Bidibidi Settlement,13,Health and Nutrition,7,,
UNHCR,61,Palorinya Settlement,15,Health and Nutrition,7,,
UNICEF,63,Bidibidi Settlement,13,Health and Nutrition,7,,
UNICEF,63,Palorinya Settlement,15,Health and Nutrition,7,,
UNFPA,64,Palorinya Settlement,15,Health and Nutrition,7,,
WFP,73,Bidibidi Settlement,13,Health and Nutrition,7,,
WFP,73,Palorinya Settlement,15,Health and Nutrition,7,,
ACF,3,Bidibidi Settlement,13,Health and Nutrition,7,,
AVSI,51,Palabek Settlement,12,Health and Nutrition,7,,
CARE,11,Imvepi Settlement,11,Health and Nutrition,7,,
CWW,15,Imvepi Settlement,11,Health and Nutrition,7,,
CWW,15,Bidibidi Settlement,13,Health and Nutrition,7,,
CWW,15,Palorinya Settlement,15,Health and Nutrition,7,,
IRC,32,Bidibidi Settlement,13,Health and Nutrition,7,,
MSF,35,Bidibidi Settlement,13,Health and Nutrition,7,,
MTI,36,Imvepi Settlement,11,Health and Nutrition,7,,
MTI,36,Bidibidi Settlement,13,Health and Nutrition,7,,
TPO,54,Bidibidi Settlement,13,Health and Nutrition,7,,
RMF,45,Bidibidi Settlement,13,Health and Nutrition,7,,
WVI,75,Palorinya Settlement,15,Health and Nutrition,7,,
WHO,74,Imvepi Settlement,11,Health and Nutrition,7,,
WHO,74,Bidibidi Settlement,13,Health and Nutrition,7,,
WHO,74,Palorinya Settlement,15,Health and Nutrition,7,,
DHO,19,Bidibidi Settlement,13,Health and Nutrition,7,,
Lamwo - District Local Government ,78,Palabek Settlement,12,Health and Nutrition,7,,21
MSF-S,89,Palabek Settlement,12,Health and Nutrition,7,,22
MSF-H,88,Palorinya Settlement,15,Health and Nutrition,7,,23
MSF-F,87,Imvepi Settlement,11,Health and Nutrition,7,,
OPM,23,Pagirinya Settlement,1,"Shelter, Site  and NFIs",8,,
OPM,23,Kyangwali,7,"Shelter, Site  and NFIs",8,,
OPM,23,Kuluba CP,8,"Shelter, Site  and NFIs",8,,
OPM,23,Ocea RC (Rhino),9,"Shelter, Site  and NFIs",8,,
OPM,23,Rhino settlement,10,"Shelter, Site  and NFIs",8,,
OPM,23,Imvepi Settlement,11,"Shelter, Site  and NFIs",8,,
OPM,23,Palabek Settlement,12,"Shelter, Site  and NFIs",8,,
OPM,23,Bidibidi Settlement,13,"Shelter, Site  and NFIs",8,,
OPM,23,Elegu CP,14,"Shelter, Site  and NFIs",8,,
OPM,23,Palorinya Settlement,15,"Shelter, Site  and NFIs",8,,
OPM,23,Rwamwanja,16,"Shelter, Site  and NFIs",8,,
OPM,23,Nakivale Settlement,18,"Shelter, Site  and NFIs",8,,
OPM,23,Oruchinga,19,"Shelter, Site  and NFIs",8,,
OPM,23,Kyaka II settlement,20,"Shelter, Site  and NFIs",8,,
OPM,23,Kiryandongo Settlement,22,"Shelter, Site  and NFIs",8,,
UNHCR,61,Pagirinya Settlement,1,"Shelter, Site  and NFIs",8,,
UNHCR,61,"Maaji I,II, III",2,"Shelter, Site  and NFIs",8,,
UNHCR,61,"Mungula I, II",3,"Shelter, Site  and NFIs",8,,
UNHCR,61,Boroli,4,"Shelter, Site  and NFIs",8,,
UNHCR,61,Nyumanzi,5,"Shelter, Site  and NFIs",8,,
UNHCR,61,"Ayilo I,II",6,"Shelter, Site  and NFIs",8,,
UNHCR,61,Kyangwali,7,"Shelter, Site  and NFIs",8,,
UNHCR,61,Kuluba CP,8,"Shelter, Site  and NFIs",8,,
UNHCR,61,Ocea RC (Rhino),9,"Shelter, Site  and NFIs",8,,
UNHCR,61,Rhino settlement,10,"Shelter, Site  and NFIs",8,,
UNHCR,61,Imvepi Settlement,11,"Shelter, Site  and NFIs",8,,
UNHCR,61,Palabek Settlement,12,"Shelter, Site  and NFIs",8,,
UNHCR,61,Bidibidi Settlement,13,"Shelter, Site  and NFIs",8,,
UNHCR,61,Elegu CP,14,"Shelter, Site  and NFIs",8,,
UNHCR,61,Palorinya Settlement,15,"Shelter, Site  and NFIs",8,,
UNHCR,61,Rwamwanja,16,"Shelter, Site  and NFIs",8,,
UNHCR,61,Nakivale Settlement,18,"Shelter, Site  and NFIs",8,,
UNHCR,61,Oruchinga,19,"Shelter, Site  and NFIs",8,,
UNHCR,61,Kyaka II settlement,20,"Shelter, Site  and NFIs",8,,
UNHCR,61,Kiryandongo Settlement,22,"Shelter, Site  and NFIs",8,,
UNICEF,63,Rhino settlement,10,"Shelter, Site  and NFIs",8,,
WFP,73,Imvepi Settlement,11,"Shelter, Site  and NFIs",8,,
AAH,2,Kyangwali,7,"Shelter, Site  and NFIs",8,,
AIRD,6,Pagirinya Settlement,1,"Shelter, Site  and NFIs",8,,
AIRD,6,"Maaji I,II, III",2,"Shelter, Site  and NFIs",8,,
AIRD,6,"Mungula I, II",3,"Shelter, Site  and NFIs",8,,
AIRD,6,Boroli,4,"Shelter, Site  and NFIs",8,,
AIRD,6,Nyumanzi,5,"Shelter, Site  and NFIs",8,,
AIRD,6,"Ayilo I,II",6,"Shelter, Site  and NFIs",8,,
AIRD,6,Rhino settlement,10,"Shelter, Site  and NFIs",8,,
AIRD,6,Imvepi Settlement,11,"Shelter, Site  and NFIs",8,,
AIRD,6,Palabek Settlement,12,"Shelter, Site  and NFIs",8,,
AIRD,6,Bidibidi Settlement,13,"Shelter, Site  and NFIs",8,,
AIRD,6,Palorinya Settlement,15,"Shelter, Site  and NFIs",8,,
AIRD,6,Rwamwanja,16,"Shelter, Site  and NFIs",8,,
AIRD,6,Nakivale Settlement,18,"Shelter, Site  and NFIs",8,,
AIRD,6,Oruchinga,19,"Shelter, Site  and NFIs",8,,
AIRD,6,Kiryandongo Settlement,22,"Shelter, Site  and NFIs",8,,
DRC,18,"Maaji I,II, III",2,"Shelter, Site  and NFIs",8,,
DRC,18,"Mungula I, II",3,"Shelter, Site  and NFIs",8,,
DRC,18,Nyumanzi,5,"Shelter, Site  and NFIs",8,,
DRC,18,"Ayilo I,II",6,"Shelter, Site  and NFIs",8,,
DRC,18,Kuluba CP,8,"Shelter, Site  and NFIs",8,,
DRC,18,Ocea RC (Rhino),9,"Shelter, Site  and NFIs",8,,
DRC,18,Rhino settlement,10,"Shelter, Site  and NFIs",8,,
DRC,18,Kyaka II settlement,20,"Shelter, Site  and NFIs",8,,
IAU,27,Kiryandongo Settlement,22,"Shelter, Site  and NFIs",8,,
PLAN,44,"Maaji I,II, III",2,"Shelter, Site  and NFIs",8,,
PLAN,44,"Mungula I, II",3,"Shelter, Site  and NFIs",8,,
PLAN,44,Boroli,4,"Shelter, Site  and NFIs",8,,
URCS,58,Imvepi Settlement,11,"Shelter, Site  and NFIs",8,,
URCS,58,Bidibidi Settlement,13,"Shelter, Site  and NFIs",8,,
WVI,75,Kuluba CP,8,"Shelter, Site  and NFIs",8,,
WVI,75,Bidibidi Settlement,13,"Shelter, Site  and NFIs",8,,
SCI,49,Pagirinya Settlement,1,"Shelter, Site  and NFIs",8,,
SCI,49,"Maaji I,II, III",2,"Shelter, Site  and NFIs",8,,
SCI,49,"Mungula I, II",3,"Shelter, Site  and NFIs",8,,
SCI,49,Boroli,4,"Shelter, Site  and NFIs",8,,
SCI,49,Ocea RC (Rhino),9,"Shelter, Site  and NFIs",8,,
SCI,49,Rhino settlement,10,"Shelter, Site  and NFIs",8,,
LWF,33,Pagirinya Settlement,1,"Shelter, Site  and NFIs",8,,
LWF,33,"Maaji I,II, III",2,"Shelter, Site  and NFIs",8,,
LWF,33,"Mungula I, II",3,"Shelter, Site  and NFIs",8,,
LWF,33,Boroli,4,"Shelter, Site  and NFIs",8,,
LWF,33,Nyumanzi,5,"Shelter, Site  and NFIs",8,,
LWF,33,"Ayilo I,II",6,"Shelter, Site  and NFIs",8,,
LWF,33,Palabek Settlement,12,"Shelter, Site  and NFIs",8,,
LWF,33,Elegu CP,14,"Shelter, Site  and NFIs",8,,
LWF,33,Palorinya Settlement,15,"Shelter, Site  and NFIs",8,,
LWF,33,Rwamwanja,16,"Shelter, Site  and NFIs",8,,
HIJRA,26,Nakivale Settlement,18,"Shelter, Site  and NFIs",8,,
HIJRA,26,Oruchinga,19,"Shelter, Site  and NFIs",8,,
Government_,56,Kiryandongo Settlement,22,"Shelter, Site  and NFIs",8,,
Arua - District Local Government ,77,Ocea RC (Rhino),9,"Shelter, Site  and NFIs",8,,
Arua - District Local Government ,77,Rhino settlement,10,"Shelter, Site  and NFIs",8,,
OPM,23,Nyakabande TC,17,"Shelter, Site  and NFIs",8,,
UNHCR,61,Nyakabande TC,17,"Shelter, Site  and NFIs",8,,
AIRD,6,Nyakabande TC,17,"Shelter, Site  and NFIs",8,,
AIRD,6,Kiryandongo TC,21,"Shelter, Site  and NFIs",8,,
CAFOMI,10,Nyakabande TC,17,"Shelter, Site  and NFIs",8,,12
UNHCR,61,Kiryandongo TC,21,"Shelter, Site  and NFIs",8,,24
OPM,23,Kiryandongo TC,21,Logistics,9,,
UNHCR,61,Boroli,4,Logistics,9,,
UNHCR,61,Nyumanzi,5,Logistics,9,,
UNHCR,61,"Ayilo I,II",6,Logistics,9,,
UNHCR,61,Kyangwali,7,Logistics,9,,
UNHCR,61,Rhino settlement,10,Logistics,9,,
UNHCR,61,Bidibidi Settlement,13,Logistics,9,,
UNHCR,61,Elegu CP,14,Logistics,9,,
UNHCR,61,Palorinya Settlement,15,Logistics,9,,
UNHCR,61,Rwamwanja,16,Logistics,9,,
UNHCR,61,Nyakabande TC,17,Logistics,9,,
UNHCR,61,Kiryandongo TC,21,Logistics,9,,
UNHCR,61,Kiryandongo Settlement,22,Logistics,9,,
AAH,2,Palorinya Settlement,15,Logistics,9,,
ACF,3,Rhino settlement,10,Logistics,9,,
ACF,3,Elegu CP,14,Logistics,9,,
AIRD,6,Boroli,4,Logistics,9,,
AIRD,6,Nyumanzi,5,Logistics,9,,
AIRD,6,"Ayilo I,II",6,Logistics,9,,
AIRD,6,Kyangwali,7,Logistics,9,,
AIRD,6,Rhino settlement,10,Logistics,9,,
AIRD,6,Imvepi Settlement,11,Logistics,9,,
AIRD,6,Palabek Settlement,12,Logistics,9,,
AIRD,6,Bidibidi Settlement,13,Logistics,9,,
AIRD,6,Elegu CP,14,Logistics,9,,
AIRD,6,Palorinya Settlement,15,Logistics,9,,
AIRD,6,Rwamwanja,16,Logistics,9,,
AIRD,6,Nyakabande TC,17,Logistics,9,,
AIRD,6,Nakivale Settlement,18,Logistics,9,,
AIRD,6,Oruchinga,19,Logistics,9,,
AIRD,6,Kyaka II settlement,20,Logistics,9,,
AIRD,6,Kiryandongo TC,21,Logistics,9,,
AIRD,6,Kiryandongo Settlement,22,Logistics,9,,
TCNs Ugandan nationals,50,Rhino settlement,10,Logistics,9,,
UNHCR,61,Pagirinya Settlement,1,Logistics,9,,
UNHCR,61,"Maaji I,II, III",2,Logistics,9,,
UNHCR,61,"Mungula I, II",3,Logistics,9,,
UNHCR,61,Kuluba CP,8,Logistics,9,,
UNHCR,61,Ocea RC (Rhino),9,Logistics,9,,
AIRD,6,Pagirinya Settlement,1,Logistics,9,,
AIRD,6,"Maaji I,II, III",2,Logistics,9,,
AIRD,6,"Mungula I, II",3,Logistics,9,,
AIRD,6,Kuluba CP,8,Logistics,9,,
AIRD,6,Ocea RC (Rhino),9,Logistics,9,,
AAH,2,Pagirinya Settlement,1,Logistics,9,,3
AAH,2,"Maaji I,II, III",2,Logistics,9,,4
AAH,2,"Mungula I, II",3,Logistics,9,,5
AAH,2,Kuluba CP,8,Logistics,9,,6
AAH,2,Ocea RC (Rhino),9,Logistics,9,,7
UNHCR,61,Kyangwali,7,Environment,10,,
UNHCR,61,Bidibidi Settlement,13,Environment,10,,
UNHCR,61,Palorinya Settlement,15,Environment,10,,
AAH,2,Kyangwali,7,Environment,10,,
AAH,2,Palorinya Settlement,15,Environment,10,,
AIRD,6,Imvepi Settlement,11,Environment,10,,
AIRD,6,Palabek Settlement,12,Environment,10,,
AIRD,6,Bidibidi Settlement,13,Environment,10,,
AIRD,6,Palorinya Settlement,15,Environment,10,,
DRC,18,Kuluba CP,8,Environment,10,,
DRC,18,Rhino settlement,10,Environment,10,,
LWF,33,Pagirinya Settlement,1,Environment,10,,
LWF,33,Boroli,4,Environment,10,,
LWF,33,Nyumanzi,5,Environment,10,,
LWF,33,"Ayilo I,II",6,Environment,10,,
LWF,33,Palorinya Settlement,15,Environment,10,,
LWF,33,Rwamwanja,16,Environment,10,,
LWF,33,Kiryandongo TC,21,Environment,10,,
HIJRA,26,Nyakabande TC,17,Environment,10,,
Government_,56,Pagirinya Settlement,1,Environment,10,,
Government_,56,"Maaji I,II, III",2,Environment,10,,
Government_,56,"Mungula I, II",3,Environment,10,,
Government_,56,Boroli,4,Environment,10,,
Government_,56,Nyumanzi,5,Environment,10,,
Government_,56,"Ayilo I,II",6,Environment,10,,
Government_,56,Kyangwali,7,Environment,10,,
Government_,56,Elegu CP,14,Environment,10,,
Government_,56,Kiryandongo TC,21,Environment,10,,
Arua - District Local Government ,77,Ocea RC (Rhino),9,Environment,10,,
Arua - District Local Government ,77,Rhino settlement,10,Environment,10,,
NSAMIZI,39,Nakivale Settlement,18,Environment,10,,
NSAMIZI,39,Oruchinga,19,Environment,10,,
NSAMIZI,39,Kyaka II settlement,20,Environment,10,,
NSAMIZI,39,Kiryandongo Settlement,22,Environment,10,,
IRC,32,Kiryandongo Settlement,22,WASH ,4,,
CWW,15,Kiryandongo Settlement,22,WASH ,4,,
SCI,49,Kiryandongo Settlement,22,WASH ,4,,
WMI,69,Kiryandongo Settlement,22,WASH ,4,,
Government_,56,Kiryandongo Settlement,22,Health and Nutrition,7,,
UNHCR,61,Kiryandongo Settlement,22,"Shelter, Site  and NFIs",8,,
SP,48,Kyaka II settlement,20,WASH ,4,,
Kyegegwa - District Local Government ,83,Kyaka II settlement,20,WASH ,4,,
CAFOMI,10,Oruchinga,19,CP,1,,
RLP,46,Nakivale Settlement,18,CP,1,,
Africa ministry revival,5,Nyakabande TC,17,Education,3,,
Koboko - District Local Government ,82,Nyakabande TC,17,Education,3,,
SCI,49,Elegu CP,14,CP,1,,
MC,37,Bidibidi Settlement,13,Livelihoods,5,,
MSF-FR,90,Imvepi Settlement,11,Health and Nutrition,7,,
MI,34,Imvepi Settlement,11,WASH ,4,,
SCI,49,Rhino settlement,10,CP,1,,
OXFAM,41,Rhino settlement,10,WASH ,4,,
IFRC,30,Rhino settlement,10,WASH ,4,,
UNHCR,61,Kuluba CP,8,CP,1,,
Koboko - District Local Government ,82,Kuluba CP,8,Health and Nutrition,7,,
WVI,75,Kuluba CP,8,Health and Nutrition,7,,
WFP,73,Kuluba CP,8,Health and Nutrition,7,,
CWW,15,Kuluba CP,8,Health and Nutrition,7,,
MTI,36,Kuluba CP,8,Health and Nutrition,7,,
Koboko - District Local Government ,82,Kuluba CP,8,"Shelter, Site  and NFIs",8,,
Hoima - District Local Government ,79,Kyangwali,7,WASH ,4,,
DRC,18,"Ayilo I,II",6,WASH ,4,,
NRC,38,"Maaji I,II, III",2,WASH ,4,,
WVI,75,"Maaji I,II, III",2,WASH ,4,,
UNHCR,61,"Maaji I,II, III",2,"Shelter, Site  and NFIs",8,,
LWF,33,Pagirinya Settlement,1,CP,1,,
ACF,3,Pagirinya Settlement,1,Logistics,9,,3
ACF,3,"Maaji I,II, III",2,Logistics,9,,4
ACF,3,"Mungula I, II",3,Logistics,9,,5
ACF,3,Kuluba CP,8,Logistics,9,,6
ACF,3,Ocea RC (Rhino),9,Logistics,9,,7
AAH,2,Kuluba CP,8,WASH ,4,,1
AAH,2,Ocea RC (Rhino),9,WASH ,4,,2
ICRC,29,Rwamwanja,16,CP,1,,13
ICRC,29,Nyakabande TC,17,CP,1,,14
ICRC,29,Nakivale Settlement,18,CP,1,,15
ICRC,29,Oruchinga,19,CP,1,,16
ICRC,29,Kyaka II settlement,20,CP,1,,17
HIJRA,26,Nyakabande TC,17,CP,1,,10
HIJRA,26,Nyakabande TC,17,WASH ,4,,11
HIJRA,26,Nyakabande TC,17,"Shelter, Site  and NFIs",8,,12
UNFPA,64,Rwamwanja,16,SGBV,2,,18
WTU,72,Ocea RC (Rhino),9,Education,3,,19
Ceford,14,Rhino settlement,10,WASH ,4,,8
Ceford,14,Rhino settlement,10,Livelihoods,5,,9
UNFPA,64,Rwamwanja,16,Livelihoods,5,,20
IRC,32,Palabek Settlement,12,Health and Nutrition,7,,21
IRC,32,Palabek Settlement,12,Health and Nutrition,7,,22
MTI,36,Palorinya Settlement,15,Health and Nutrition,7,,23
IAU,27,Kiryandongo TC,21,"Shelter, Site  and NFIs",8,,24
